in:LabR[%],in:FFR [%],in:UnderGrnd [%],in:GlzR [%],in:Uvalue [IP],in:HVAC,in:HeatRecov,in:LabACH,in:Plant,out:PeakCool [Btu/h-sf],out:PeakHeat [Btu/h-sf],out:EUI [kBtu/sf],img
40,35,10,20,0.25,VAV,Glycol,4/2,Campus,12.388083,5.244364,61.597945,21035401_R4.png
50,35,10,20,0.25,VAV,Glycol,4/2,Campus,13.524263,5.399347,69.449413,21035501_R4.png
60,35,10,20,0.25,VAV,Glycol,4/2,Campus,14.660443,5.554331,77.300882,21035601_R4.png
40,45,10,20,0.25,VAV,Glycol,4/2,Campus,12.700352,5.553978,62.232977,21045401_R4.png
50,45,10,20,0.25,VAV,Glycol,4/2,Campus,13.79452,5.676814,70.000706,21045501_R4.png
60,45,10,20,0.25,VAV,Glycol,4/2,Campus,14.888689,5.799649,77.768433,21045601_R4.png
40,55,10,20,0.25,VAV,Glycol,4/2,Campus,12.969245,5.861247,62.976844,21055401_R4.png
50,55,10,20,0.25,VAV,Glycol,4/2,Campus,14.020075,5.952181,70.647481,21055501_R4.png
60,55,10,20,0.25,VAV,Glycol,4/2,Campus,15.070905,6.043114,78.31812,21055601_R4.png
40,35,30,20,0.25,VAV,Glycol,4/2,Campus,12.099824,5.003679,61.123208,23035401_R4.png
50,35,30,20,0.25,VAV,Glycol,4/2,Campus,13.27527,5.184151,69.047205,23035501_R4.png
60,35,30,20,0.25,VAV,Glycol,4/2,Campus,14.450715,5.364622,76.9712,23035601_R4.png
40,45,30,20,0.25,VAV,Glycol,4/2,Campus,12.330773,5.246281,61.60328,23045401_R4.png
50,45,30,20,0.25,VAV,Glycol,4/2,Campus,13.474986,5.401693,69.464494,23045501_R4.png
60,45,30,20,0.25,VAV,Glycol,4/2,Campus,14.619199,5.557105,77.325705,23045601_R4.png
40,55,30,20,0.25,VAV,Glycol,4/2,Campus,12.526904,5.486997,62.16816,23055401_R4.png
50,55,30,20,0.25,VAV,Glycol,4/2,Campus,13.638402,5.617547,69.955005,23055501_R4.png
60,55,30,20,0.25,VAV,Glycol,4/2,Campus,14.7499,5.748097,77.741854,23055601_R4.png
40,35,50,20,0.25,VAV,Glycol,4/2,Campus,11.811566,4.762995,60.648471,25035401_R4.png
50,35,50,20,0.25,VAV,Glycol,4/2,Campus,13.026277,4.968954,68.644994,25035501_R4.png
60,35,50,20,0.25,VAV,Glycol,4/2,Campus,14.240988,5.174914,76.641517,25035601_R4.png
40,45,50,20,0.25,VAV,Glycol,4/2,Campus,11.961194,4.938583,60.973582,25045401_R4.png
50,45,50,20,0.25,VAV,Glycol,4/2,Campus,13.155451,5.126572,68.928279,25045501_R4.png
60,45,50,20,0.25,VAV,Glycol,4/2,Campus,14.349709,5.314561,76.882974,25045601_R4.png
40,55,50,20,0.25,VAV,Glycol,4/2,Campus,12.084563,5.112748,61.359476,25055401_R4.png
50,55,50,20,0.25,VAV,Glycol,4/2,Campus,13.256729,5.282914,69.26253,25055501_R4.png
60,55,50,20,0.25,VAV,Glycol,4/2,Campus,14.428895,5.453081,77.165586,25055601_R4.png
40,35,10,40,0.25,VAV,Glycol,4/2,Campus,13.59447,5.93152,62.743529,41035401_R4.png
50,35,10,40,0.25,VAV,Glycol,4/2,Campus,14.744992,6.11087,70.520582,41035501_R4.png
60,35,10,40,0.25,VAV,Glycol,4/2,Campus,15.895513,6.29022,78.297634,41035601_R4.png
